,mds_x,mds_y,channel,month,title,year
1442,5.898381451400613,-27.394368659987176,Cine34,marzo,7 chili in 7 giorni,1986
1443,10.042561725390971,-12.063758793693015,Cine34,marzo,7 chili in 7 giorni,1986
1444,5.666412165925273,-26.834022189813,Cine34,marzo,7 chili in 7 giorni,1986
1445,-4.656757158061345,-17.302044890573075,Cine34,marzo,mediterraneo,1991
1446,6.136668966119923,12.815286706578476,Cine34,marzo,infelici e contenti,1992
1447,9.250959691099338,1.688755900234155,Cine34,marzo,infelici e contenti,1992
1448,9.627127052071868,9.726812928248052,Cine34,marzo,infelici e contenti,1992
1449,12.674002823392415,20.69990764810741,Cine34,marzo,dottor jekyll e gentile signora,1979
1450,15.624822594323652,21.598720123946443,Cine34,marzo,ho vinto la lotteria di capodanno,1989
1451,6.845675062355155,8.473938690160178,Cine34,marzo,lucignolo,1999
1452,7.505949579906077,-21.50804917245524,Cine34,marzo,il comune senso del pudore,1976
1453,24.39689154717881,-4.388003539231732,Cine34,marzo,40 gradi all'ombra del lenzuolo,1976
1454,17.090914824404738,5.9632826977865,Cine34,marzo,e adesso sesso,2001
1455,20.39600576638761,-0.0069616200775043,Cine34,marzo,"zucchero, miele e peperoncino",1980
1456,18.48358614512307,6.9161384490715045,Cine34,marzo,"zucchero, miele e peperoncino",1980
1457,20.361833809245187,0.2135877528330059,Cine34,marzo,"zucchero, miele e peperoncino",1980
1458,-13.376480090033157,-14.24838488539402,Cine34,marzo,amarcord,1973
1459,7.807135001214506,3.647382815595452,Cine34,marzo,l'anatra all'arancia,1975
1460,17.002562118654488,14.258584777986844,Cine34,marzo,il ragazzo del pony express,1986
1461,18.42147063415488,1.669831832503685,Cine34,marzo,il commissario lo gatto,1986
1462,18.32988526009264,13.297368013042504,Cine34,marzo,il ritorno del monnezza,2005
1463,16.157325366895865,18.28635973964221,Cine34,marzo,il ritorno del monnezza,2005
1464,8.392629161952268,18.601795005518568,Cine34,marzo,banzai,1997
1465,5.798048316928354,15.431761321708525,Cine34,marzo,c'era un cinese in coma,2000
1466,18.829210875495036,12.879193749122027,Cine34,marzo,sogni mostruosamente proibiti,1982
1467,3.948734908303705,15.226913217425883,Cine34,marzo,scherzi da prete,1978
1468,12.379475560303868,9.527777332790656,Cine34,marzo,io speriamo che me la cavo,1992
1469,-12.728055102664712,4.613394824424336,Cine34,marzo,l'uomo delle stelle,1995
1470,2.933141231079208,4.232454229296845,Cine34,marzo,asso,1981
1471,10.531428271458672,3.3465674472166125,Cine34,marzo,roba da ricchi,1987
1472,8.454120070456183,-6.714591021521363,Cine34,marzo,roba da ricchi,1987
1473,8.246087433911542,-17.858306555507802,Cine34,marzo,roba da ricchi,1987
1474,-6.016517496814365,22.318471500589084,Cine34,marzo,ladri di biciclette,1948
1475,-9.934499284815226,18.29300408768084,Cine34,marzo,umberto d.,1952
1476,-10.063813971509749,5.708860378424983,Cine34,marzo,mamma roma,1962
1477,1.093082687808959,8.340865646116448,Cine34,marzo,volere volare,1991
1478,-1.2553935415115878,10.626956749744956,Cine34,marzo,sissignore,1968
1479,-5.483237532910792,16.839137133549,Cine34,marzo,miracolo a milano,1951
1480,6.497755954692986,-32.029461861102334,Cine34,marzo,7 chili in 7 giorni,1986
1481,-4.71917476838144,-15.324621887668057,Cine34,marzo,saturno contro,2007
1482,-1.4252846903373062,-9.383078767362475,Cine34,marzo,mediterraneo,1991
1483,14.7043445353776,-5.873497065472414,Cine34,marzo,teste di cocco,2000
1484,10.804164863084218,3.680901160370377,Cine34,marzo,infelici e contenti,1992
1485,22.913489967685926,1.0537698103258122,Cine34,marzo,dottor jekyll e gentile signora,1979
1486,-1.6638286532382272,-13.178167454708758,Cine34,marzo,ferie d'agosto,1996
1487,-1.483243269590424,-14.168580747583595,Cine34,marzo,ferie d'agosto,1996
1488,-5.464403897054678,-4.993793808808555,Cine34,marzo,fantozzi,1975
1489,-12.14194347789758,5.495724773434133,Cine34,marzo,fantozzi,1975
1490,5.511588047140886,7.338015996796847,Cine34,marzo,piedipiatti,1991
1491,23.616224389134143,2.0510923195456603,Cine34,marzo,ho vinto la lotteria di capodanno,1989
