,day,day_number,month,daytime,title,duration,duration_with_advertising,channel,year,genres,rating,advertising,sharing
101,Martedì,26,aprile,sera,philadelphia,125,130,Sky Due,1993,Drama,7.7,5,0.065
102,Mercoledì,27,aprile,sera,shakespeare in love,123,130,Sky Due,1998,"Comedy,Drama",7.1,7,0.065
103,Lunedì,4,aprile,sera,burn after reading,96,100,Sky Due,2008,"Comedy,Crime,Drama",7.0,4,0.065
104,Sabato,16,aprile,sera,argo,106,125,Sky Due,2004,"Action,Comedy",7.1,19,0.065
105,Lunedì,18,aprile,sera,moulin rouge!,127,130,Sky Due,2001,"Romance,Drama",7.6,3,0.065
106,Sabato,23,aprile,sera,gomorra,137,140,Sky Due,2008,"Crime,Drama",7.0,3,0.065
107,Giovedì,14,aprile,sera,gomorra,137,140,Sky Due,2008,"Crime,Drama",7.0,3,0.065
108,Martedì,5,aprile,sera,gomorra,137,140,Sky Due,2008,"Crime,Drama",7.0,3,0.065
109,Mercoledì,10,agosto,sera,match point,124,141,Iris,2005,"Romance,Thriller,Drama",7.6,17,1.5699999999999998
110,Venerdì,12,agosto,sera,michael collins,133,143,Iris,1996,"Thriller,Drama",7.2,10,1.5699999999999998
111,Giovedì,11,agosto,sera,waterworld,135,149,Iris,1995,"Action,Adventure,Sci-Fi",6.3,14,1.5699999999999998
112,Sabato,13,agosto,sera,waterworld,135,149,Iris,1995,"Action,Adventure,Sci-Fi",6.3,14,1.5699999999999998
113,Sabato,20,agosto,sera,frontera,95,117,Iris,1980,"Action,Crime,Drama",6.5,22,1.5699999999999998
114,Domenica,7,agosto,sera,firewall,105,119,Iris,2006,"Action,Thriller,Crime",5.8,14,1.5699999999999998
115,Giovedì,4,agosto,sera,we were soldiers,138,154,Iris,2002,"Action,Drama",7.2,16,1.5699999999999998
116,Lunedì,1,agosto,sera,agents secrets,109,123,Iris,2004,"Action,Thriller,Crime",5.4,14,1.5699999999999998
117,Venerdì,19,agosto,mattina,match point,124,155,Iris,2005,"Romance,Thriller,Drama",7.6,31,1.215
118,Mercoledì,3,agosto,mattina,gli eroi del west,86,105,Iris,1964,"Comedy,Western",5.4,19,1.215
119,Venerdì,26,agosto,mattina,"metti, una sera a cena",125,153,Iris,1969,Drama,6.3,28,1.215
120,Domenica,21,agosto,mattina,frontera,95,122,Iris,1980,"Action,Crime,Drama",6.5,27,1.215
121,Mercoledì,17,agosto,mattina,we were soldiers,138,172,Iris,2002,"Action,Drama",7.2,34,1.215
122,Sabato,6,agosto,mattina,we were soldiers,138,181,Iris,2002,"Action,Drama",7.2,43,1.215
123,Mercoledì,31,agosto,mattina,vendetta... sarda,93,113,Iris,1952,Comedy,5.2,20,1.215
124,Mercoledì,17,agosto,mattina,ischia operazione amore,86,96,Iris,1966,Comedy,5.4,10,1.215
125,Lunedì,22,agosto,mattina,blues metropolitano,116,136,Iris,1985,"Comedy,Drama",4.7,20,1.215
126,Giovedì,11,agosto,mattina,italiani a rio,95,109,Iris,1987,Comedy,4.0,14,1.215
127,Lunedì,29,agosto,mattina,il mistero di bellavista,102,127,Iris,1985,Comedy,6.5,25,1.215
128,Lunedì,1,agosto,mattina,lo scugnizzo,105,116,Iris,1979,"Action,Comedy,Drama",5.3,11,1.215
129,Mercoledì,10,agosto,mattina,i gemelli del texas,89,102,Iris,1964,"Comedy,Western",5.7,13,1.215
130,Venerdì,19,agosto,mattina,agente 077 dall'oriente con furore,94,120,Iris,1965,"Action,Adventure,Comedy",5.2,26,1.215
131,Mercoledì,31,agosto,notte,syriana,128,134,Iris,2005,"Thriller,Drama",6.9,6,2.13
132,Lunedì,1,agosto,notte,entourage,95,123,Iris,2000,Drama,6.9,28,2.13
133,Martedì,2,agosto,notte,argo,106,110,Iris,2004,"Action,Comedy",7.1,4,2.13
134,Sabato,13,agosto,notte,il trapianto,86,100,Iris,1970,Comedy,6.0,14,2.13
135,Domenica,14,agosto,pomeriggio,michael collins,133,156,Iris,1996,"Thriller,Drama",7.2,23,1.075
136,Lunedì,1,agosto,pomeriggio,entourage,95,135,Iris,2000,Drama,6.9,40,1.075
137,Martedì,2,agosto,pomeriggio,argo,106,150,Iris,2004,"Action,Comedy",7.1,44,1.075
138,Lunedì,1,agosto,pomeriggio,the new world,135,180,Iris,2005,Drama,6.7,45,1.075
139,Venerdì,5,agosto,pomeriggio,the truth about charlie,104,140,Iris,2002,Thriller,4.7,36,1.075
140,Giovedì,18,agosto,pomeriggio,bowfinger,97,119,Iris,1999,Comedy,6.4,22,1.075
141,Venerdì,26,agosto,pomeriggio,the babe,115,149,Iris,1992,Drama,5.9,34,1.075
142,Sabato,6,agosto,pomeriggio,frequency,118,149,Iris,2000,"Crime,Drama",7.3,31,1.075
143,Giovedì,4,agosto,pomeriggio,agents secrets,109,142,Iris,2004,"Action,Thriller,Crime",5.4,33,1.075
144,Mercoledì,24,agosto,pomeriggio,city hall,111,145,Iris,1996,"Thriller,Drama",6.2,34,1.075
